Dato,Tid,Produkt,ISIN,Referansebørs,Venue,Antall,Pris,,Lokal verdi,,Verdi,,Vekslingskurs,Transaction and/or third,,Totalt,,Ordre-ID
07-01-2022,21:33,APPLE INC. - COMMON ST,US0378331005,NDQ,CDED,4,173.0000,USD,-692.00,USD,-6113.83,NOK,0.1132,-5.03,NOK,-6118.86,NOK,8a0a1082-b476-4162-8629-9d2caa3f7a46
07-01-2022,21:32,MICROSOFT CORPORATION,US5949181045,NDQ,EDGX,71,315.3300,USD,-22388.43,USD,-197776.95,NOK,0.1132,-5.03,NOK,-197781.98,NOK,2a5adea1-b379-4bc6-9fe1-2a146394c41d
07-01-2022,21:31,APPLE INC. - COMMON ST,US0378331005,NDQ,CDED,96,173.0800,USD,-16615.68,USD,-146786.95,NOK,0.1132,,,-146786.95,NOK,5282e58e-dcdc-41ca-9429-72f5888c7da2
07-01-2022,21:31,APPLE INC. - COMMON ST,US0378331005,NDQ,MSPL,100,173.0750,USD,-17307.50,USD,-152898.66,NOK,0.1132,-5.03,NOK,-152903.69,NOK,5282e58e-dcdc-41ca-9429-72f5888c7da2
04-01-2022,17:00,APPLE INC. - COMMON ST,US0378331005,NDQ,CDED,-97,180.7100,USD,17528.87,USD,154822.59,NOK,0.1132,,,154822.59,NOK,d896277a-abaf-4e2d-b06b-2227d356bfc4
04-01-2022,17:00,APPLE INC. - COMMON ST,US0378331005,NDQ,MSPL,-100,180.7100,USD,18071.00,USD,159610.92,NOK,0.1132,-5.01,NOK,159605.91,NOK,d896277a-abaf-4e2d-b06b-2227d356bfc4
04-01-2022,17:00,MICROSOFT CORPORATION,US5949181045,NDQ,CDED,-65,329.1900,USD,21397.35,USD,188996.36,NOK,0.1132,-5.01,NOK,188991.35,NOK,632c3b43-1212-4f33-aa85-b90c100ecc36
14-12-2021,15:49,APPLE INC. - COMMON ST,US0378331005,NDQ,CDED,3,177.0400,USD,-531.12,USD,-4821.77,NOK,0.1102,,,-4821.77,NOK,7a2ec4e5-ee1c-45a7-a992-1cee7519dfa4
14-12-2021,15:46,MICROSOFT CORPORATION,US5949181045,NDQ,CDED,65,331.9400,USD,-21576.10,USD,-195811.70,NOK,0.1102,,,-195811.70,NOK,8cdb4599-4ce0-4f10-951a-5d1320cc9df3
14-12-2021,15:44,APPLE INC. - COMMON ST,US0378331005,NDQ,CDED,94,176.7000,USD,-16609.80,USD,-150810.87,NOK,0.1101,,,-150810.87,NOK,5424e61a-b964-4f81-bdf2-d87d7edc32ea
14-12-2021,15:44,APPLE INC. - COMMON ST,US0378331005,NDQ,MSPL,100,176.7000,USD,-17670.00,USD,-160437.10,NOK,0.1101,,,-160437.10,NOK,5424e61a-b964-4f81-bdf2-d87d7edc32ea
09-12-2021,20:13,APPLE INC. - COMMON ST,US0378331005,NDQ,CDED,-201,175.3500,USD,35245.35,USD,316880.41,NOK,0.1112,,,316880.41,NOK,a745b2c8-756a-4bb9-8710-583d92d50137
09-12-2021,20:13,MICROSOFT CORPORATION,US5949181045,NDQ,CDED,-63,333.9400,USD,21038.22,USD,189148.35,NOK,0.1112,,,189148.35,NOK,8e5cdf9b-87ee-4518-9533-ac401cc73610
06-12-2021,15:31,MICROSOFT CORPORATION,US5949181045,NDQ,SOHO,63,323.9800,USD,-20410.74,USD,-185905.67,NOK,0.1098,,,-185905.67,NOK,65628b44-c24c-4d00-b04b-38bd297e402a
06-12-2021,15:30,APPLE INC. - COMMON ST,US0378331005,NDQ,CDED,201,165.4300,USD,-33251.43,USD,-302855.39,NOK,0.1098,,,-302855.39,NOK,e444e064-83a2-4507-bc83-57ca5a5cf028
02-12-2021,16:44,MICROSOFT CORPORATION,US5949181045,NDQ,CDED,-65,328.2300,USD,21334.95,USD,194092.65,NOK,0.1099,,,194092.65,NOK,8293264a-e1b8-4834-819e-042bfdf90c26
02-12-2021,16:43,APPLE INC. - COMMON ST,US0378331005,NDQ,CDED,-4,159.2200,USD,636.88,USD,5795.20,NOK,0.1099,,,5795.20,NOK,58146b2b-96a9-41a4-8009-e14274998be3
02-12-2021,16:43,APPLE INC. - COMMON ST,US0378331005,NDQ,MSPL,-200,159.2300,USD,31846.00,USD,289778.07,NOK,0.1099,,,289778.07,NOK,58146b2b-96a9-41a4-8009-e14274998be3
29-11-2021,18:02,MICROSOFT CORPORATION,US5949181045,NDQ,ARCX,1,337.8400,USD,-337.84,USD,-3059.94,NOK,0.1104,,,-3059.94,NOK,cd0133df-55da-4ccd-a842-09ede6ab58c3
29-11-2021,18:00,MICROSOFT CORPORATION,US5949181045,NDQ,XNAS,64,337.9900,USD,-21631.36,USD,-195988.69,NOK,0.1104,,,-195988.69,NOK,b3fccb5b-6337-4b93-8d1a-0dcd7ab63d56
29-11-2021,17:59,APPLE INC. - COMMON ST,US0378331005,NDQ,CDED,95,160.4200,USD,-15239.90,USD,-138052.30,NOK,0.1104,,,-138052.30,NOK,33a58421-c3d5-4cc3-95cf-12a7abddff0d
29-11-2021,17:59,APPLE INC. - COMMON ST,US0378331005,NDQ,CDED,100,160.4200,USD,-16042.00,USD,-145318.21,NOK,0.1104,,,-145318.21,NOK,33a58421-c3d5-4cc3-95cf-12a7abddff0d
29-11-2021,17:59,APPLE INC. - COMMON ST,US0378331005,NDQ,CDED,9,160.4200,USD,-1443.78,USD,-13078.64,NOK,0.1104,,,-13078.64,NOK,33a58421-c3d5-4cc3-95cf-12a7abddff0d
26-11-2021,16:19,MICROSOFT CORPORATION,US5949181045,NDQ,CDED,-66,335.3600,USD,22133.76,USD,200381.25,NOK,0.1105,,,200381.25,NOK,11dc2dc1-c7c5-4a99-a999-395f9f7ff073
26-11-2021,16:18,APPLE INC. - COMMON ST,US0378331005,NDQ,CDED,-206,157.9100,USD,32529.46,USD,294504.19,NOK,0.1105,,,294504.19,NOK,aa2bba4e-5c66-43b1-b593-bff46f0a647a
24-11-2021,16:36,MICROSOFT CORPORATION,US5949181045,NDQ,CDED,1,335.8500,USD,-335.85,USD,-3009.75,NOK,0.1116,,,-3009.75,NOK,56024e8b-2178-475e-abff-9c913263bd31
24-11-2021,16:35,MICROSOFT CORPORATION,US5949181045,NDQ,CDED,64,335.8000,USD,-21491.20,USD,-192656.75,NOK,0.1116,,,-192656.75,NOK,5906e109-335f-4eda-a268-e250f5b73e8e
24-11-2021,16:35,MICROSOFT CORPORATION,US5949181045,NDQ,CDED,1,335.7900,USD,-335.79,USD,-3010.17,NOK,0.1116,,,-3010.17,NOK,5906e109-335f-4eda-a268-e250f5b73e8e
24-11-2021,16:35,APPLE INC. - COMMON ST,US0378331005,NDQ,CDED,6,160.4000,USD,-962.40,USD,-8623.19,NOK,0.1116,,,-8623.19,NOK,ed31cf01-92dc-4179-9bc3-4b91a9f452cb
24-11-2021,16:35,APPLE INC. - COMMON ST,US0378331005,NDQ,MSPL,200,160.4000,USD,-32080.00,USD,-287439.55,NOK,0.1116,,,-287439.55,NOK,ed31cf01-92dc-4179-9bc3-4b91a9f452cb
22-11-2021,19:16,MICROSOFT CORPORATION,US5949181045,NDQ,CDED,-109,342.4800,USD,37330.32,USD,333266.82,NOK,0.1120,,,333266.82,NOK,04d37341-4873-4efd-a07b-428418e6bad2
22-11-2021,19:16,APPLE INC. - COMMON ST,US0378331005,NDQ,CDED,-1,163.6400,USD,163.64,USD,1460.90,NOK,0.1120,,,1460.90,NOK,bdd4ab29-d0a4-4a4c-a2db-e70d62c2d858
22-11-2021,19:16,ALPHABET INC. - CLASS A,US02079K3059,NDQ,CDED,-6,2940.7400,USD,17644.44,USD,157519.35,NOK,0.1120,,,157519.35,NOK,706ee84e-c1be-4038-9e57-aa7c81bb08d2
11-11-2021,15:33,APPLE INC. - COMMON ST,US0378331005,NDQ,SOHO,1,148.5700,USD,-148.57,USD,-1289.58,NOK,0.1152,-4.98,NOK,-1294.56,NOK,cefa3c5c-e96b-47cb-a2b5-6867c397adca
11-11-2021,15:32,MICROSOFT CORPORATION,US5949181045,NDQ,CDED,4,331.8500,USD,-1327.40,USD,-11522.38,NOK,0.1152,-5.15,NOK,-11527.54,NOK,590969b0-5500-406a-b654-e2578e54284e
11-11-2021,15:30,ALPHABET INC. - CLASS A,US02079K3059,NDQ,ARCX,6,2930.0000,USD,-17580.00,USD,-152603.72,NOK,0.1152,-5.15,NOK,-152608.87,NOK,ec011a6a-2eed-4de3-9784-174eed853239
11-11-2021,15:30,MICROSOFT CORPORATION,US5949181045,NDQ,CDED,105,331.5200,USD,-34809.60,USD,-302156.67,NOK,0.1152,-8.63,NOK,-302165.30,NOK,8c95a343-b0ed-4a08-b745-e999829f2e05
09-11-2021,16:12,MICROSOFT CORPORATION,US5949181045,NDQ,CDED,-7,336.8700,USD,2358.09,USD,20110.25,NOK,0.1173,-0.26,NOK,20109.99,NOK,2ef133c3-c9cb-4d7a-993d-8809c4cf8643
09-11-2021,16:12,MICROSOFT CORPORATION,US5949181045,NDQ,MSPL,-100,336.8700,USD,33687.00,USD,287289.23,NOK,0.1173,-8.35,NOK,287280.88,NOK,2ef133c3-c9cb-4d7a-993d-8809c4cf8643
09-11-2021,16:12,APPLE INC. - COMMON ST,US0378331005,NDQ,CDED,-1,150.3550,USD,150.36,USD,1282.30,NOK,0.1173,-4.94,NOK,1277.36,NOK,8247df85-49ad-4da6-9086-a87f426e8ab2
09-11-2021,16:11,ALPHABET INC. - CLASS A,US02079K3059,NDQ,CDED,-6,2950.2100,USD,17701.26,USD,150945.92,NOK,0.1173,-5.11,NOK,150940.81,NOK,3b49f4b8-ba1a-498c-9b31-1ef029754f1f
25-10-2021,18:33,APPLE INC. - COMMON ST,US0378331005,NDQ,CDED,1,148.6000,USD,-148.60,USD,-1242.03,NOK,0.1196,-4.86,NOK,-1246.89,NOK,c897381e-f59b-4092-ba07-b8e796459aa1
